Corruption,ResNet-18,Shape-ResNet-18,ResNet-50,Shape-ResNet-50,ResNet-101,Shape-ResNet-101
Gaussian noise,34.31±1.41,37.40±1.20,32.36±3.01,42.36±0.86,,
Shot noise,40.17±1.09,43.09±1.10,38.09±2.86,47.66±0.79,,
Impulse noise,33.89±1.00,31.79±0.97,33.18±1.49,36.98±0.53,,
Defocus blur,52.15±0.26,55.36±0.29,48.30±0.84,54.99±0.36,,
Glass blur,34.94±0.70,40.08±0.75,34.66±5.98,42.57±0.76,,
Motion blur,46.76±0.34,50.47±0.08,43.50±0.58,50.50±0.52,,
Zoom blur,47.91±0.47,53.06±0.15,44.29±1.05,52.66±0.35,,
Snow,48.09±0.83,50.08±0.41,44.80±0.42,50.51±0.14,,
Frost,46.93±0.74,49.36±0.21,41.74±0.68,48.09±0.25,,
Fog,49.13±0.48,45.40±0.24,43.08±1.99,43.37±0.48,,
Brightness,58.13±0.46,58.11±0.28,53.90±1.91,57.40±0.18,,
Contrast,42.23±0.96,43.18±0.90,35.53±2.03,39.66±0.56,,
Elastic,50.33±0.35,51.92±0.19,46.72±0.42,52.04±0.51,,
Pixelate,47.77±0.70,58.20±0.22,47.94±5.17,58.37±0.25,,
JPEG,51.55±0.31,51.68±0.44,49.53±0.99,53.14±0.23,,
